,word,score 1 ,score 2,score 3,score 4,score 5,score 6 ,scores,average
0,access rights,0,0,2,-1,2,0,"[0, 0, 2, -1, 2, 0]",0.5
1,accrual,2,0,2,-1,2,0,"[2, 0, 2, -1, 2, 0]",0.8333333333333334
2,affordable,2,4,2,4,2,4,"[2, 4, 2, 4, 2, 4]",3.0
3,analytics,3,1,0,1,1,0,"[3, 1, 0, 1, 1, 0]",1.0
4,android,-1,0,0,-1,-2,0,"[-1, 0, 0, -1, -2, 0]",-0.6666666666666666
5,answer,2,2,2,2,1,0,"[2, 2, 2, 2, 1, 0]",1.5
6,app,-1,-1,2,1,2,0,"[-1, -1, 2, 1, 2, 0]",0.5
7,applicant tracking,1,0,2,1,2,0,"[1, 0, 2, 1, 2, 0]",1.0
8,applicants,3,1,3,3,2,0,"[3, 1, 3, 3, 2, 0]",2.0
9,authentication,2,2,2,-1,2,0,"[2, 2, 2, -1, 2, 0]",1.1666666666666667
10,bi-weekly,-1,0,0,1,2,0,"[-1, 0, 0, 1, 2, 0]",0.3333333333333333
11,boss,-2,-1,1,1,-1,-1,"[-2, -1, 1, 1, -1, -1]",-0.5
12,breaks,2,0,3,3,2,1,"[2, 0, 3, 3, 2, 1]",1.8333333333333333
13,clock in,1,-1,1,0,2,0,"[1, -1, 1, 0, 2, 0]",0.5
14,clock out,2,0,1,0,-2,0,"[2, 0, 1, 0, -2, 0]",0.16666666666666666
15,communicate,1,2,3,4,3,1,"[1, 2, 3, 4, 3, 1]",2.3333333333333335
16,communication,2,2,3,4,3,2,"[2, 2, 3, 4, 3, 2]",2.6666666666666665
17,compensation,2,1,2,3,2,0,"[2, 1, 2, 3, 2, 0]",1.6666666666666667
18,compensation planning,-1,-1,1,1,3,0,"[-1, -1, 1, 1, 3, 0]",0.5
19,compliance,2,0,2,0,-2,3,"[2, 0, 2, 0, -2, 3]",0.8333333333333334
20,compliant,2,3,2,-1,0,3,"[2, 3, 2, -1, 0, 3]",1.5
21,contact,-1,2,2,2,1,1,"[-1, 2, 2, 2, 1, 1]",1.1666666666666667
22,contributions,-1,3,3,3,0,2,"[-1, 3, 3, 3, 0, 2]",1.6666666666666667
23,cost,0,-2,-1,0,-2,-1,"[0, -2, -1, 0, -2, -1]",-1.0
24,costs,-2,-2,-1,-2,-3,-2,"[-2, -2, -1, -2, -3, -2]",-2.0
25,customer service,3,4,-1,2,3,0,"[3, 4, -1, 2, 3, 0]",1.8333333333333333
26,dedicate,-1,3,3,1,3,2,"[-1, 3, 3, 1, 3, 2]",1.8333333333333333
27,deduct,-1,-1,-1,-2,-1,-1,"[-1, -1, -1, -2, -1, -1]",-1.1666666666666667
28,deduction,0,-2,-2,-2,-3,-1,"[0, -2, -2, -2, -3, -1]",-1.6666666666666667
29,direct deposit,2,1,3,3,3,0,"[2, 1, 3, 3, 3, 0]",2.0
30,email,1,0,1,-1,2,0,"[1, 0, 1, -1, 2, 0]",0.5
31,employee,2,-1,1,3,2,0,"[2, -1, 1, 3, 2, 0]",1.1666666666666667
32,employees,2,-2,3,3,2,0,"[2, -2, 3, 3, 2, 0]",1.3333333333333333
33,expensive,2,-2,-3,-4,-3,-4,"[2, -2, -3, -4, -3, -4]",-2.3333333333333335
34,export,-1,0,0,-1,0,0,"[-1, 0, 0, -1, 0, 0]",-0.3333333333333333
35,fee,-2,-1,-1,-3,-3,-2,"[-2, -1, -1, -3, -3, -2]",-2.0
36,fees,2,-1,-2,-4,-3,-3,"[2, -1, -2, -4, -3, -3]",-1.8333333333333333
37,follow up,2,1,3,3,2,0,"[2, 1, 3, 3, 2, 0]",1.8333333333333333
38,hire,2,1,3,4,2,1,"[2, 1, 3, 4, 2, 1]",2.1666666666666665
39,hiring,-1,1,3,3,2,0,"[-1, 1, 3, 3, 2, 0]",1.3333333333333333
40,hours,1,-1,0,1,2,0,"[1, -1, 0, 1, 2, 0]",0.5
41,hr,2,2,1,3,2,0,"[2, 2, 1, 3, 2, 0]",1.6666666666666667
42,iPhone,-2,0,1,2,2,0,"[-2, 0, 1, 2, 2, 0]",0.5
43,implementation,2,0,0,2,2,0,"[2, 0, 0, 2, 2, 0]",1.0
44,import,-1,-1,1,0,-1,0,"[-1, -1, 1, 0, -1, 0]",-0.3333333333333333
45,informed,-1,3,3,4,2,2,"[-1, 3, 3, 4, 2, 2]",2.1666666666666665
46,integrate,-1,1,1,3,3,1,"[-1, 1, 1, 3, 3, 1]",1.3333333333333333
47,integration,2,2,0,1,2,1,"[2, 2, 0, 1, 2, 1]",1.3333333333333333
48,invoice,-1,-1,-1,-2,-2,0,"[-1, -1, -1, -2, -2, 0]",-1.1666666666666667
49,issue,-1,-2,-2,-3,-2,-2,"[-1, -2, -2, -3, -2, -2]",-2.0
50,job costing,3,-1,-1,0,0,-1,"[3, -1, -1, 0, 0, -1]",0.0
51,job costs,2,-2,-1,0,1,-1,"[2, -2, -1, 0, 1, -1]",-0.16666666666666666
52,labor costing,2,-3,-1,-1,1,0,"[2, -3, -1, -1, 1, 0]",-0.3333333333333333
53,labor costs,-2,-2,-1,1,-2,-1,"[-2, -2, -1, 1, -2, -1]",-1.1666666666666667
54,limited access,2,-2,-3,-2,-2,-1,"[2, -2, -3, -2, -2, -1]",-1.3333333333333333
55,login,2,0,1,0,2,0,"[2, 0, 1, 0, 2, 0]",0.8333333333333334
56,manage employee,2,-1,3,1,3,-1,"[2, -1, 3, 1, 3, -1]",1.1666666666666667
57,manage performance,2,-2,2,-2,0,-1,"[2, -2, 2, -2, 0, -1]",-0.16666666666666666
58,manager,2,1,1,1,2,0,"[2, 1, 1, 1, 2, 0]",1.1666666666666667
59,manner,2,0,1,0,1,0,"[2, 0, 1, 0, 1, 0]",0.6666666666666666
60,meals,-1,1,0,2,1,0,"[-1, 1, 0, 2, 1, 0]",0.5
61,mobile,2,1,1,1,2,0,"[2, 1, 1, 1, 2, 0]",1.1666666666666667
62,monthly,2,0,0,1,1,0,"[2, 0, 0, 1, 1, 0]",0.6666666666666666
63,new hire,2,1,3,2,1,1,"[2, 1, 3, 2, 1, 1]",1.6666666666666667
64,nimble,2,0,3,2,2,1,"[2, 0, 3, 2, 2, 1]",1.6666666666666667
65,nimbleschedule,-1,0,2,0,0,0,"[-1, 0, 2, 0, 0, 0]",0.16666666666666666
66,onboard,2,1,2,1,3,1,"[2, 1, 2, 1, 3, 1]",1.6666666666666667
67,onboarding,2,2,2,1,1,1,"[2, 2, 2, 1, 1, 1]",1.5
68,open enrollment,2,2,2,0,2,0,"[2, 2, 2, 0, 2, 0]",1.3333333333333333
69,overtime,3,0,-2,0,-2,0,"[3, 0, -2, 0, -2, 0]",-0.16666666666666666
70,password,2,0,2,1,1,0,"[2, 0, 2, 1, 1, 0]",1.0
71,pay period,2,0,0,1,2,0,"[2, 0, 0, 1, 2, 0]",0.8333333333333334
72,pay rate,2,0,0,1,-2,0,"[2, 0, 0, 1, -2, 0]",0.16666666666666666
73,pay stub,2,1,2,1,2,0,"[2, 1, 2, 1, 2, 0]",1.3333333333333333
74,paycheck,2,2,4,2,2,0,"[2, 2, 4, 2, 2, 0]",2.0
75,paycor,2,2,3,3,3,0,"[2, 2, 3, 3, 3, 0]",2.1666666666666665
76,payments,-1,-2,-1,2,2,0,"[-1, -2, -1, 2, 2, 0]",0.0
77,payrate,2,0,0,0,2,0,"[2, 0, 0, 0, 2, 0]",0.6666666666666666
78,payroll,2,0,3,0,3,0,"[2, 0, 3, 0, 3, 0]",1.3333333333333333
79,perform hr,2,0,2,0,1,0,"[2, 0, 2, 0, 1, 0]",0.8333333333333334
80,perform time,2,-2,2,0,0,0,"[2, -2, 2, 0, 0, 0]",0.3333333333333333
81,performance management,2,-1,2,-2,2,-1,"[2, -1, 2, -2, 2, -1]",0.3333333333333333
82,permission,3,2,-1,-1,2,0,"[3, 2, -1, -1, 2, 0]",0.8333333333333334
83,permissions,-1,1,-1,0,2,1,"[-1, 1, -1, 0, 2, 1]",0.3333333333333333
84,person,-2,-2,3,2,2,0,"[-2, -2, 3, 2, 2, 0]",0.5
85,phone,2,0,0,1,1,0,"[2, 0, 0, 1, 1, 0]",0.6666666666666666
86,policy,-1,0,0,-1,-1,-1,"[-1, 0, 0, -1, -1, -1]",-0.6666666666666666
87,price,-2,-1,-1,-1,-2,0,"[-2, -1, -1, -1, -2, 0]",-1.1666666666666667
88,pricing,2,-1,1,-1,-1,0,"[2, -1, 1, -1, -1, 0]",0.0
89,PTO,2,2,4,2,3,1,"[2, 2, 4, 2, 3, 1]",2.3333333333333335
90,pulse,2,1,2,1,2,1,"[2, 1, 2, 1, 2, 1]",1.5
91,punch in,-2,-2,1,1,2,-1,"[-2, -2, 1, 1, 2, -1]",-0.16666666666666666
92,punch out,-2,-2,1,-3,1,-2,"[-2, -2, 1, -3, 1, -2]",-1.1666666666666667
93,punches,2,-1,0,-2,-1,-1,"[2, -1, 0, -2, -1, -1]",-0.5
94,question,3,1,1,1,2,1,"[3, 1, 1, 1, 2, 1]",1.5
95,regulations,2,-1,0,-1,-1,-1,"[2, -1, 0, -1, -1, -1]",-0.3333333333333333
96,rehire,2,0,-1,1,1,0,"[2, 0, -1, 1, 1, 0]",0.5
97,rehiring,3,0,0,1,2,0,"[3, 0, 0, 1, 2, 0]",1.0
98,rep,-2,-2,0,0,-2,0,"[-2, -2, 0, 0, -2, 0]",-1.0
99,reporting,3,0,0,1,-2,0,"[3, 0, 0, 1, -2, 0]",0.3333333333333333
100,reports,-1,-1,0,0,1,0,"[-1, -1, 0, 0, 1, 0]",-0.16666666666666666
101,response,2,2,2,1,-2,0,"[2, 2, 2, 1, -2, 0]",0.8333333333333334
102,responsive,2,3,3,2,2,4,"[2, 3, 3, 2, 2, 4]",2.6666666666666665
103,retirement,2,1,4,1,2,0,"[2, 1, 4, 1, 2, 0]",1.6666666666666667
104,scheduling,1,0,1,0,1,0,"[1, 0, 1, 0, 1, 0]",0.5
105,security,2,1,2,0,1,0,"[2, 1, 2, 0, 1, 0]",1.0
106,shifts,2,-3,0,0,-2,0,"[2, -3, 0, 0, -2, 0]",-0.5
107,spammed,1,-3,-3,-4,-2,-3,"[1, -3, -3, -4, -2, -3]",-2.3333333333333335
108,survey,2,0,1,0,1,0,"[2, 0, 1, 0, 1, 0]",0.6666666666666666
109,tax,2,-2,-1,-2,-1,-2,"[2, -2, -1, -2, -1, -2]",-1.0
110,time and attendence,2,0,1,-2,-1,0,"[2, 0, 1, -2, -1, 0]",0.0
111,time card,1,-2,0,-1,2,0,"[1, -2, 0, -1, 2, 0]",0.0
112,time clock,2,-3,1,0,-2,0,"[2, -3, 1, 0, -2, 0]",-0.3333333333333333
113,time keeping,3,0,0,0,-2,-1,"[3, 0, 0, 0, -2, -1]",0.0
114,time management,3,1,1,2,2,0,"[3, 1, 1, 2, 2, 0]",1.5
115,time off,3,2,2,3,2,2,"[3, 2, 2, 3, 2, 2]",2.3333333333333335
116,time tracking,3,0,0,0,0,-1,"[3, 0, 0, 0, 0, -1]",0.3333333333333333
117,timecard,-2,-2,0,-1,-2,0,"[-2, -2, 0, -1, -2, 0]",-1.1666666666666667
118,timeclock,3,0,0,0,-2,0,"[3, 0, 0, 0, -2, 0]",0.16666666666666666
119,TOD,3,-1,1,-2,-1,0,"[3, -1, 1, -2, -1, 0]",0.0
120,transparent,3,2,2,2,2,3,"[3, 2, 2, 2, 2, 3]",2.3333333333333335
121,weekly,-2,0,0,0,0,0,"[-2, 0, 0, 0, 0, 0]",-0.3333333333333333
122,ximble,-2,0,2,0,-2,0,"[-2, 0, 2, 0, -2, 0]",-0.3333333333333333
123,ximbleschedule,-2,0,0,0,-1,0,"[-2, 0, 0, 0, -1, 0]",-0.5
124,bureaucracy,2,-3,-1,-2,-2,-4,"[2, -3, -1, -2, -2, -4]",-1.6666666666666667
125,late,-1,-4,-2,-2,-2,-3,"[-1, -4, -2, -2, -2, -3]",-2.3333333333333335
126,promotion,2,4,2,3,3,4,"[2, 4, 2, 3, 3, 4]",3.0
127,demotion,1,-4,-2,-4,-2,-4,"[1, -4, -2, -4, -2, -4]",-2.5
128,nonresponsive,3,-4,-3,-3,-2,-4,"[3, -4, -3, -3, -2, -4]",-2.1666666666666665
129,unhelpful,3,-4,-1,-3,-2,-4,"[3, -4, -1, -3, -2, -4]",-1.8333333333333333
130,toxic,-2,-4,-2,-4,-2,-4,"[-2, -4, -2, -4, -2, -4]",-3.0
131,combative,1,-4,-2,-4,-2,-4,"[1, -4, -2, -4, -2, -4]",-2.5
132,inconsistent,2,-4,-2,-3,-2,-4,"[2, -4, -2, -3, -2, -4]",-2.1666666666666665
133,upgrade,2,1,4,1,1,4,"[2, 1, 4, 1, 1, 4]",2.1666666666666665
134,sexist,-2,-4,-4,-4,-3,-4,"[-2, -4, -4, -4, -3, -4]",-3.5
135,misogynist,-2,-4,-4,-4,-2,-4,"[-2, -4, -4, -4, -2, -4]",-3.3333333333333335
136,misogynistic,2,-4,0,-4,-1,-4,"[2, -4, 0, -4, -1, -4]",-1.8333333333333333
137,early,1,2,3,-1,2,1,"[1, 2, 3, -1, 2, 1]",1.3333333333333333
138,management,-2,0,1,2,1,-1,"[-2, 0, 1, 2, 1, -1]",0.16666666666666666
139,leadership,2,1,2,1,3,0,"[2, 1, 2, 1, 3, 0]",1.5
140,controlling,2,-3,-1,-2,-2,-2,"[2, -3, -1, -2, -2, -2]",-1.3333333333333333
141,control,1,-3,-1,-1,2,-1,"[1, -3, -1, -1, 2, -1]",-0.5
142,grumpy,2,-4,-3,-3,-2,-4,"[2, -4, -3, -3, -2, -4]",-2.3333333333333335
143,condescending,2,-4,-2,-4,-2,-4,"[2, -4, -2, -4, -2, -4]",-2.3333333333333335
144,attentive,1,2,3,2,1,2,"[1, 2, 3, 2, 1, 2]",1.8333333333333333
145,listen,2,3,2,2,2,3,"[2, 3, 2, 2, 2, 3]",2.3333333333333335
146,listens,2,2,2,3,1,1,"[2, 2, 2, 3, 1, 1]",1.8333333333333333
147,listener,1,3,2,2,0,2,"[1, 3, 2, 2, 0, 2]",1.6666666666666667
148,profanity,2,-3,-4,-1,-1,-4,"[2, -3, -4, -1, -1, -4]",-1.8333333333333333
149,grow,2,2,2,2,2,4,"[2, 2, 2, 2, 2, 4]",2.3333333333333335
150,stagnant,-3,-4,-2,-1,-1,-3,"[-3, -4, -2, -1, -1, -3]",-2.3333333333333335
151,outdated,-3,-3,-2,-2,-1,-4,"[-3, -3, -2, -2, -1, -4]",-2.5
152,rules,0,-2,-1,-1,-1,-3,"[0, -2, -1, -1, -1, -3]",-1.3333333333333333
153,diversity,3,3,4,4,1,4,"[3, 3, 4, 4, 1, 4]",3.1666666666666665
154,inclusion,3,2,4,4,2,4,"[3, 2, 4, 4, 2, 4]",3.1666666666666665
155,include,2,2,3,2,1,4,"[2, 2, 3, 2, 1, 4]",2.3333333333333335
156,supervisor,2,0,1,1,2,-1,"[2, 0, 1, 1, 2, -1]",0.8333333333333334
157,virtual,2,1,0,2,2,0,"[2, 1, 0, 2, 2, 0]",1.1666666666666667
158,COVID,-2,-3,-1,-4,-3,-3,"[-2, -3, -1, -4, -3, -3]",-2.6666666666666665
159,COVID-19,-3,-4,0,-4,-3,-4,"[-3, -4, 0, -4, -3, -4]",-3.0
160,coronavirus,-3,-4,-3,-4,-3,-4,"[-3, -4, -3, -4, -3, -4]",-3.5
161,training,3,0,2,1,3,2,"[3, 0, 2, 1, 3, 2]",1.8333333333333333
162,train,2,0,3,1,2,0,"[2, 0, 3, 1, 2, 0]",1.3333333333333333
163,skills,2,2,2,1,1,2,"[2, 2, 2, 1, 1, 2]",1.6666666666666667
164,involved,2,2,2,1,1,3,"[2, 2, 2, 1, 1, 3]",1.8333333333333333
165,politics,-3,-3,-1,-1,-2,-3,"[-3, -3, -1, -1, -2, -3]",-2.1666666666666665
166,political,2,-4,-1,-1,-2,-4,"[2, -4, -1, -1, -2, -4]",-1.6666666666666667
167,layoff,-3,-4,-3,-4,-3,-4,"[-3, -4, -3, -4, -3, -4]",-3.5
168,layoffs,-3,-4,-4,-4,-3,-4,"[-3, -4, -4, -4, -3, -4]",-3.6666666666666665
169,furlough,-3,-4,-4,-4,-3,-4,"[-3, -4, -4, -4, -3, -4]",-3.6666666666666665
170,furloughs,-3,-4,-4,-2,-3,-4,"[-3, -4, -4, -2, -3, -4]",-3.3333333333333335
171,advancement,2,3,2,3,2,4,"[2, 3, 2, 3, 2, 4]",2.6666666666666665
172,morale,3,3,3,1,2,0,"[3, 3, 3, 1, 2, 0]",2.0
173,assignment,-2,-1,2,0,2,0,"[-2, -1, 2, 0, 2, 0]",0.16666666666666666
174,raise,2,3,4,3,2,4,"[2, 3, 4, 3, 2, 4]",3.0
175,PTO,2,2,4,3,2,2,"[2, 2, 4, 3, 2, 2]",2.5
176,FMLA,2,1,4,-1,0,0,"[2, 1, 4, -1, 0, 0]",1.0
177,code,1,0,2,0,2,0,"[1, 0, 2, 0, 2, 0]",0.8333333333333334
178,develop,3,1,2,1,1,3,"[3, 1, 2, 1, 1, 3]",1.8333333333333333
179,zoom,2,1,2,1,1,0,"[2, 1, 2, 1, 1, 0]",1.1666666666666667
180,phone,2,0,0,1,1,0,"[2, 0, 0, 1, 1, 0]",0.6666666666666666
181,outlook,2,0,1,1,1,0,"[2, 0, 1, 1, 1, 0]",0.8333333333333334
182,product,2,0,1,1,1,0,"[2, 0, 1, 1, 1, 0]",0.8333333333333334
183,teams,3,0,3,2,-2,2,"[3, 0, 3, 2, -2, 2]",1.3333333333333333
184,communicator,3,2,2,2,3,3,"[3, 2, 2, 2, 3, 3]",2.5
185,hands-on,0,2,3,-1,2,1,"[0, 2, 3, -1, 2, 1]",1.1666666666666667
186,hands-off,2,0,-3,0,0,-1,"[2, 0, -3, 0, 0, -1]",-0.3333333333333333
187,compromise,2,2,3,1,1,-1,"[2, 2, 3, 1, 1, -1]",1.3333333333333333
188,compromising,-3,2,2,1,2,-1,"[-3, 2, 2, 1, 2, -1]",0.5
189,architecture,2,0,1,3,2,0,"[2, 0, 1, 3, 2, 0]",1.3333333333333333
190,backlog,2,-4,-3,-3,-2,-3,"[2, -4, -3, -3, -2, -3]",-2.1666666666666665
191,systems,2,-1,2,1,0,0,"[2, -1, 2, 1, 0, 0]",0.6666666666666666
192,desktop,3,-2,0,0,-1,0,"[3, -2, 0, 0, -1, 0]",0.0
193,finance,1,-1,1,0,0,0,"[1, -1, 1, 0, 0, 0]",0.16666666666666666
194,accountable,3,3,2,2,1,-1,"[3, 3, 2, 2, 1, -1]",1.6666666666666667
195,accounts,2,-1,0,1,-2,0,"[2, -1, 0, 1, -2, 0]",0.0
196,accounting,2,0,1,0,0,0,"[2, 0, 1, 0, 0, 0]",0.5
197,data,2,0,1,1,1,0,"[2, 0, 1, 1, 1, 0]",0.8333333333333334
198,analytics,2,0,0,1,0,0,"[2, 0, 0, 1, 0, 0]",0.5
199,snippy,-2,-4,-3,-3,-1,-4,"[-2, -4, -3, -3, -1, -4]",-2.8333333333333335
200,sassy,-3,-3,-2,-1,-1,-4,"[-3, -3, -2, -1, -1, -4]",-2.3333333333333335
201,retire,-3,1,4,2,2,0,"[-3, 1, 4, 2, 2, 0]",1.0
202,401k,2,1,4,1,2,0,"[2, 1, 4, 1, 2, 0]",1.6666666666666667
203,work-life balance,4,3,3,2,2,0,"[4, 3, 3, 2, 2, 0]",2.3333333333333335
204,playing favorites,-2,-3,-3,-2,-2,-4,"[-2, -3, -3, -2, -2, -4]",-2.6666666666666665
205,red tape,-2,-3,-1,-2,-2,-4,"[-2, -3, -1, -2, -2, -4]",-2.3333333333333335
206,micro-manage,-2,-4,-4,-2,-1,-3,"[-2, -4, -4, -2, -1, -3]",-2.6666666666666665
207,out of control,1,-4,-2,-2,-1,-4,"[1, -4, -2, -2, -1, -4]",-2.0
208,left out,-3,-4,-2,-3,-1,-4,"[-3, -4, -2, -3, -1, -4]",-2.8333333333333335
209,work from home,2,2,0,1,2,0,"[2, 2, 0, 1, 2, 0]",1.1666666666666667
210,pay cut,-3,-4,-4,-4,-2,-4,"[-3, -4, -4, -4, -2, -4]",-3.5
211,career development,3,2,2,1,2,4,"[3, 2, 2, 1, 2, 4]",2.3333333333333335
212,team building,2,2,3,3,2,0,"[2, 2, 3, 3, 2, 0]",2.0
213,lateral move,2,0,-1,0,0,0,"[2, 0, -1, 0, 0, 0]",0.16666666666666666
214,paid time off,2,1,3,3,1,1,"[2, 1, 3, 3, 1, 1]",1.8333333333333333
215,family leave,-2,0,2,-1,1,0,"[-2, 0, 2, -1, 1, 0]",0.0
216,medical leave,2,0,3,-1,-2,0,"[2, 0, 3, -1, -2, 0]",0.3333333333333333
217,mass communication,-3,-1,-1,-1,0,-1,"[-3, -1, -1, -1, 0, -1]",-1.1666666666666667
218,desktop support,1,-1,1,0,-1,0,"[1, -1, 1, 0, -1, 0]",0.0
219,call log,-2,-3,-1,-2,-1,0,"[-2, -3, -1, -2, -1, 0]",-1.5
220,support ticket,-3,-4,-2,-1,2,-1,"[-3, -4, -2, -1, 2, -1]",-1.5
221,help ticket,-3,-4,-2,-1,1,-1,"[-3, -4, -2, -1, 1, -1]",-1.6666666666666667
222,client services,1,0,1,1,0,0,"[1, 0, 1, 1, 0, 0]",0.5
